id,weather_time,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,weathercode,precipitation,rain,showers,snowfall,snow_depth,freezinglevel_height,visibility,evapotranspiration,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_1cm,soil_moisture_1_3cm,soil_moisture_3_9cm,soil_moisture_9_27cm,soil_moisture_27_81cm
us6000t04s,24/05/2026 00:00,11.9,15,-14,7.2,1018.6,759.7,0,0,0,0,8.1,,,,137,,,,27,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 01:00,10.3,15,-15.4,4.7,1019.2,759,0,0,0,0,13.6,,,,75,,,,18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 02:00,8.2,18,-14.9,3.1,1019.1,757.3,0,0,0,0,10.8,,,,85,,,,17.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 03:00,7,20,-14.6,1,1019.7,756.8,0,0,0,0,16.8,,,,71,,,,21.2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 04:00,6.2,20,-14.9,0,1019,755.6,0,0,0,0,18.2,,,,72,,,,24.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 05:00,5.7,18,-16.9,-0.6,1018.8,755.1,0,0,0,0,17.8,,,,74,,,,24.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 06:00,5.2,15,-19.1,-1,1019.1,754.9,0,0,0,0,16.9,,,,68,,,,23.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 07:00,5.2,14,-20.5,-1.3,1019,754.8,0,0,0,0,18.2,,,,70,,,,24.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 08:00,4.6,13,-21.2,-2,1018.7,754.1,0,0,0,0,18.8,,,,70,,,,24.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 09:00,4.1,13,-22.1,-2.5,1018.6,753.6,0,0,0,0,18.4,,,,71,,,,26.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 10:00,3.7,12,-22.7,-2.7,1019.2,753.8,0,0,0,0,17.1,,,,73,,,,24.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 11:00,3.3,12,-23.2,-3.2,1020,754.1,0,0,0,0,17.6,,,,66,,,,23.4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 12:00,5.9,9,-24.4,-0.9,1019.7,755.9,0,0,0,0,19.3,,,,62,,,,25.2,69,50,19,423.7,112.1,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 13:00,11.8,6,-24.4,5.4,1019.6,760.4,0,0,0,0,16.7,,,,62,,,,28.4,289,241,48,829.3,387.7,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 14:00,17.2,7,-19.6,11.7,1018.1,763.3,0,0,0,0,11.8,,,,33,,,,25.2,504,445,59,947,626.9,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 15:00,19.8,5,-20.2,15.1,1016.3,763.9,0,0,0,0,11.1,,,,337,,,,23.4,673,609,64,1001.8,811,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 16:00,20.8,4,-24,17.2,1014.9,763.6,0,0,0,0,7.2,,,,271,,,,22.3,783,715,68,1028.4,927.5,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 17:00,21.9,4,-23.1,17.3,1013.8,763.5,0,0,0,0,14.8,,,,233,,,,27,820,751,69,1034.5,968.4,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 18:00,23,4,-20.9,17.1,1012.9,763.6,0,0,0,0,21.5,,,,252,,,,36.7,783,714,69,1022.9,931.1,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 19:00,22.9,4,-20.7,15.7,1012,762.9,0,0,0,0,26.7,,,,267,,,,42.5,673,608,65,991.5,818,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 20:00,21.9,5,-19.4,14.1,1012.1,762.2,0,0,0,0,27.7,,,,264,,,,43.9,506,448,58,938.4,636.9,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 21:00,20.2,7,-16.7,12.7,1012.3,761.2,0,0,0,0,26.6,,,,254,,,,43.2,294,247,47,823.7,400,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 22:00,17.2,11,-13.8,10.4,1013.7,760,0,0,0,0,22.2,,,,233,,,,40,75,55,20,447,124.5,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,24/05/2026 23:00,15,13,-13.2,9,1015.2,759.5,0,0,0,0,17.5,,,,220,,,,31.7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 00:00,12.9,13,-14.8,7.6,1016.4,758.9,0,0,0,0,12.1,,,,185,,,,24.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 01:00,11.6,14,-14.8,6.6,1017.2,758.5,24,0,0,24,9.8,,,,76,,,,15.1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 02:00,9.8,15,-16,3.5,1017.4,757.2,0,0,0,0,18,,,,52,,,,24.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 03:00,7.4,16,-16.5,1.2,1016.8,754.9,0,0,0,0,17.4,,,,72,,,,24.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 04:00,7.3,16,-16.8,1,1016.5,754.7,0,0,0,0,18.1,,,,65,,,,24.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 05:00,6.7,18,-15.8,0.3,1016.9,754.4,0,0,0,0,18.5,,,,68,,,,25.6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 06:00,5.6,19,-16.1,-0.8,1017.3,753.9,0,0,0,0,19.2,,,,66,,,,27,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 07:00,5.2,19,-16.5,-1.5,1016.9,753.3,0,0,0,0,21.3,,,,66,,,,29.2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 08:00,5.2,19,-16.9,-1.6,1016.5,753,0,0,0,0,21.5,,,,68,,,,29.9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 09:00,5.4,18,-17.1,-1.3,1016.2,752.9,0,0,0,0,20.7,,,,67,,,,29.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 10:00,5.1,18,-17.6,-1.6,1016.3,752.7,0,0,0,0,20,,,,66,,,,28.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 11:00,4.8,17,-18.1,-1.8,1017.1,753.1,0,0,0,0,19.4,,,,67,,,,27.7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 12:00,7.3,16,-17.1,0.7,1018,755.8,0,0,0,0,20.1,,,,59,,,,26.6,65,47,18,401.6,110.1,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 13:00,13.1,11,-16.5,7.2,1018.2,760.3,0,0,0,0,15.1,,,,61,,,,28.4,279,233,46,807.1,385,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 14:00,17.8,10,-14.4,11.9,1017.1,763,0,0,0,0,15.9,,,,31,,,,26.6,490,432,58,923.5,623.8,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 15:00,19.7,9,-13.9,15.4,1015.6,763.3,0,0,0,0,9.5,,,,1,,,,27,657,593,64,979,807.8,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 16:00,20.4,9,-14.1,17.2,1014.5,763,0,0,0,0,6.7,,,,301,,,,20.9,764,697,67,1005.7,924.2,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 17:00,21,8,-14.2,17.9,1013.4,762.6,0,0,0,0,7.7,,,,269,,,,20.2,803,734,69,1014,965.3,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 18:00,21.5,8,-14.3,18.2,1012.6,762.3,0,0,0,0,7.1,,,,240,,,,20.2,768,700,68,1005.7,928.1,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 19:00,22,8,-14,17.2,1011.9,762.1,0,0,0,0,12.5,,,,231,,,,24.1,663,599,64,979.7,815.3,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 20:00,21.5,8,-14.2,15.8,1012,761.9,0,0,0,0,14.9,,,,240,,,,27.4,498,440,58,924.6,634.6,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 21:00,20.8,9,-14,15.1,1012,761.3,0,0,0,0,14.4,,,,254,,,,26.6,288,241,47,807.1,398.2,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 22:00,18.4,10,-13.4,12.6,1012.5,760,0,0,0,0,15.5,,,,250,,,,23.8,73,53,20,432.9,123.2,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,25/05/2026 23:00,16.2,12,-13.4,10.9,1013.5,759.2,0,0,0,0,12.2,,,,243,,,,22.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 00:00,14.8,15,-11.9,10.8,1015,759.2,0,0,0,0,3.9,,,,233,,,,16.6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 01:00,13.2,15,-12.6,8.5,1015.9,758.7,0,0,0,0,9.1,,,,104,,,,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 02:00,11.9,16,-13.2,6.2,1016.6,758.2,0,0,0,0,15.2,,,,66,,,,18.7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 03:00,9.7,19,-12.8,4,1016.5,756.5,0,0,0,0,15.6,,,,57,,,,21.2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 04:00,8,22,-12.6,2.2,1016.8,755.4,0,0,0,0,15.9,,,,65,,,,20.9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 05:00,7.1,23,-12.9,1.2,1017.3,755,0,0,0,0,16.5,,,,70,,,,22.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 06:00,6.3,23,-13.5,0.5,1018,755,0,0,0,0,15.9,,,,74,,,,22.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 07:00,5.9,23,-13.8,-0.1,1017.8,754.5,0,0,0,0,17.5,,,,73,,,,24.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 08:00,5.7,23,-14,-0.2,1017.6,754.2,0,0,0,0,16.5,,,,70,,,,23.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 09:00,5.6,23,-13.8,-0.3,1017.9,754.3,0,0,0,0,15.9,,,,70,,,,22.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 10:00,5.4,26,-12.7,-0.4,1018.2,754.5,0,0,0,0,16.2,,,,66,,,,21.2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 11:00,5.2,28,-11.8,-0.7,1018.6,754.6,0,0,0,0,17.4,,,,66,,,,23.4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 12:00,7.3,26,-11,1.7,1019.7,757,0,0,0,0,15.9,,,,65,,,,24.1,62,45,17,387.7,108,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 13:00,12.8,18,-10.6,7.9,1019.8,761.3,0,0,0,0,11.1,,,,65,,,,23.4,272,226,46,788.1,382.3,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 14:00,16.8,16,-9.2,12.8,1018.9,763.6,0,0,0,0,5.8,,,,22,,,,18.4,479,422,57,906.1,620.8,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 15:00,18.5,14,-9.2,15.2,1017.8,764.1,0,0,0,0,5.3,,,,252,,,,14.8,644,580,64,960.9,804.6,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 16:00,20.1,13,-9.4,16.5,1016,763.9,0,0,0,0,11,,,,194,,,,23,750,682,68,987.1,921,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 17:00,21.5,12,-9.6,18,1014.5,763.8,0,0,0,0,11.1,,,,224,,,,23.8,786,717,69,993.4,962.1,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 18:00,22.6,11,-9.7,17.1,1013.2,763.6,0,0,0,0,22.3,,,,264,,,,36.7,751,684,67,985.5,925.2,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 19:00,22.6,11,-9.1,16.6,1012.4,763,0,0,0,0,22.7,,,,270,,,,39.2,648,585,63,959.5,812.7,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 20:00,22.4,12,-8.6,15.7,1012,762.5,0,0,0,0,24.1,,,,282,,,,38.5,487,429,58,904.3,632.4,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 21:00,21.1,13,-8.3,14.4,1012.1,761.7,0,0,0,0,24.9,,,,278,,,,39.6,281,234,47,786.8,396.4,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 22:00,19,15,-8.2,13.3,1013,760.9,0,0,0,0,18.2,,,,266,,,,38.2,70,51,19,418.5,122,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,26/05/2026 23:00,17,18,-7.9,12,1014.2,760.2,1,0,0,1,12.6,,,,261,,,,26.6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 00:00,14.9,21,-7.3,10.8,1016.1,760.1,0,0,0,0,7,,,,192,,,,17.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 01:00,13.4,22,-7.8,9.2,1017.1,759.7,0,0,0,0,7.6,,,,115,,,,8.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 02:00,12.2,23,-8.1,7.2,1017.7,759.3,0,0,0,0,12.8,,,,75,,,,15.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 03:00,10.6,27,-7.6,5.7,1017.8,758.2,0,0,0,0,13.1,,,,60,,,,16.9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 04:00,9.1,31,-7.1,4.2,1017.9,757,0,0,0,0,12.7,,,,58,,,,16.6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 05:00,7.9,34,-7.1,2.9,1018.1,756.3,0,0,0,0,14.4,,,,68,,,,18.7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 06:00,7.1,35,-7.2,1.9,1019,756.3,0,0,0,0,14.6,,,,74,,,,20.2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 07:00,6.8,36,-7.2,1.5,1018.5,755.7,0,0,0,0,15.4,,,,69,,,,20.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 08:00,6.5,37,-7.2,1.3,1018.2,755.3,0,0,0,0,15.1,,,,62,,,,20.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 09:00,6.1,37,-7.7,1,1018.3,755,0,0,0,0,14.3,,,,62,,,,19.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 10:00,5.7,37,-7.9,0.6,1018.7,755,0,0,0,0,13.4,,,,61,,,,18.4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 11:00,5.3,37,-8.1,0.2,1019.4,755.2,0,0,0,0,13.6,,,,58,,,,16.9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 12:00,7.4,31,-8.4,2.1,1020.3,757.5,0,0,0,0,15,,,,61,,,,18.7,61,43,18,373.5,106,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 13:00,12.8,22,-8.4,7.9,1019.9,761.4,0,0,0,0,11.7,,,,53,,,,21.6,269,222,47,779.4,379.6,0,0,0,0,0,0,,,,,,,,,,,,
us6000t04s,27/05/2026 14:00,17.4,18,-7.6,12.5,1018.4,763.7,0,0,0,0,13,,,,17,,,,22.7,475,418,57,901.5,617.9,0,0,0,0,0,0,,,,,,,,,,,,
